,datetime,pump_voltage_V,feedrate_ml_D
11579,2023-06-07 13:47:19,0.003,-25.606368000000003
11580,2023-06-07 13:47:26,0.003,-25.606368000000003
11581,2023-06-07 13:47:33,0.003,-25.606368000000003
11582,2023-06-07 13:47:40,0.003,-25.606368000000003
11583,2023-06-07 13:47:48,0.003,-25.606368000000003
11584,2023-06-07 13:47:55,0.003,-25.606368000000003
11585,2023-06-07 13:48:02,0.003,-25.606368000000003
11586,2023-06-07 13:48:09,0.003,-25.606368000000003
11587,2023-06-07 13:48:16,0.003,-25.606368000000003
11588,2023-06-07 13:48:23,0.003,-25.606368000000003
11589,2023-06-07 13:48:30,0.003,-25.606368000000003
11590,2023-06-07 13:48:37,0.003,-25.606368000000003
11591,2023-06-07 13:48:44,0.003,-25.606368000000003
11592,2023-06-07 13:48:51,0.003,-25.606368000000003
11593,2023-06-07 13:48:58,0.003,-25.606368000000003
11594,2023-06-07 13:49:05,0.003,-25.606368000000003
11595,2023-06-07 13:49:12,0.003,-25.606368000000003
11596,2023-06-07 13:49:19,0.003,-25.606368000000003
11597,2023-06-07 13:49:26,0.003,-25.606368000000003
11598,2023-06-07 13:49:33,0.003,-25.606368000000003
11599,2023-06-07 13:49:41,0.003,-25.606368000000003
11600,2023-06-07 13:49:48,0.003,-25.606368000000003
11601,2023-06-07 13:49:55,0.003,-25.606368000000003
11602,2023-06-07 13:50:02,0.003,-25.606368000000003
11603,2023-06-07 13:50:09,0.003,-25.606368000000003
11604,2023-06-07 13:50:16,0.003,-25.606368000000003
11605,2023-06-07 13:50:23,0.003,-25.606368000000003
11606,2023-06-07 13:50:30,0.003,-25.606368000000003
11607,2023-06-07 13:50:37,0.003,-25.606368000000003
11608,2023-06-07 13:50:44,0.003,-25.606368000000003
11609,2023-06-07 13:50:51,0.003,-25.606368000000003
11610,2023-06-07 13:50:58,0.003,-25.606368000000003
11611,2023-06-07 13:51:05,0.003,-25.606368000000003
11612,2023-06-07 13:51:12,0.003,-25.606368000000003
11613,2023-06-07 13:51:19,0.003,-25.606368000000003
11614,2023-06-07 13:51:26,0.003,-25.606368000000003
11615,2023-06-07 13:51:34,0.003,-25.606368000000003
11616,2023-06-07 13:51:41,0.003,-25.606368000000003
11617,2023-06-07 13:51:48,0.003,-25.606368000000003
11618,2023-06-07 13:51:55,0.003,-25.606368000000003
11619,2023-06-07 13:52:02,0.003,-25.606368000000003
11620,2023-06-07 13:52:09,0.003,-25.606368000000003
11621,2023-06-07 13:52:16,0.003,-25.606368000000003
11622,2023-06-07 13:52:23,0.003,-25.606368000000003
11623,2023-06-07 13:52:30,0.003,-25.606368000000003
11624,2023-06-07 13:52:37,0.003,-25.606368000000003
11625,2023-06-07 13:52:44,0.003,-25.606368000000003
11626,2023-06-07 13:52:51,0.003,-25.606368000000003
11627,2023-06-07 13:52:58,0.003,-25.606368000000003
11628,2023-06-07 13:53:05,0.003,-25.606368000000003
11629,2023-06-07 13:53:12,0.003,-25.606368000000003
11630,2023-06-07 13:53:19,0.003,-25.606368000000003
11631,2023-06-07 13:53:27,0.003,-25.606368000000003
11632,2023-06-07 13:53:34,0.003,-25.606368000000003
11633,2023-06-07 13:53:41,0.003,-25.606368000000003
11634,2023-06-07 13:53:48,0.003,-25.606368000000003
11635,2023-06-07 13:53:55,0.003,-25.606368000000003
11636,2023-06-07 13:54:02,0.003,-25.606368000000003
11637,2023-06-07 13:54:09,0.003,-25.606368000000003
11638,2023-06-07 13:54:16,0.003,-25.606368000000003
